iso3-code,lon1,lat1,lon2,lat2
FRA,8.565625,41.3849121094,9.5564453125,43.021484375
FRA,-4.7625,42.3404785156,8.14033203125,51.0971191406
GBR,-5.65625,50.0213867188,1.74658203125,55.8079589844
GBR,-5.2623046875,51.3904296875,-2.6623046875,53.4192871094
GBR,-8.14482421875,54.0512695312,-5.47041015625,55.241796875
GBR,-7.54296875,54.689453125,-0.774267578125,60.8318847656
DEU,5.85751953125,47.2788085938,15.0166015625,55.0587402344
NLD,3.133,50.75,7.217,53.683
USA,-124.709960938,24.5423339844,-66.9870117187,49.3696777344
USA,-178.19453125,51.6036621094,-130.0140625,71.4076660156
USA,172.494824219,51.3722167969,179.779980469,53.0129882813
USA,-160.243457031,18.9639160156,-154.804199219,22.2231445312
FIN,20.6221679688,59.816015625,31.5365234375,70.06484375
NOR,-9.09887695312,70.8326660156,-7.97880859375,71.1776855469
NOR,4.7990234375,58.0209472656,30.9606445313,71.1420898438
GEO,39.9783203125,41.0702148437,46.6725585938,43.5697753906
SWE,11.1471679688,55.3463867188,24.15546875,69.0368652344
DNK,8.121484375,54.6288574219,12.6657226563,57.7369140625
DNK,14.6841796875,55.0049316406,15.137109375,55.2967285156
CAN,-141.002148438,41.6748535156,-52.6536621094,83.1161132813
AUS,112.908203125,-39.1455078125,153.616894531,-10.0517578125
AUS,143.838574219,-43.6193359375,148.47421875,-39.5801757813
AUS,158.8359375,-54.74921875,158.958886719,-54.4723632813
AUS,123.572460938,-12.4359375,123.595214844,-12.4239257813
LTU,20.8998046875,53.89296875,26.7756835938,56.4111816406
JPN,142.107128906,26.6156738281,142.202148438,26.7264648437
JPN,139.820898438,41.4232421875,145.833007812,45.5095214844
JPN,123.679785156,24.2660644531,129.714648438,28.5174804688
JPN,128.649121094,30.24140625,141.329199219,45.4654785156
JPN,132.032617188,32.7520019531,134.738867188,34.3583984375
JPN,129.580078125,31.0151367188,132.00859375,33.9277832031
JPN,139.768945313,33.0454589844,139.873632813,33.1292480469
JPN,130.889257813,33.4869628906,141.993164062,41.5055664062
NZL,166.477636719,-47.263671875,174.370117188,-40.4900390625
NZL,165.889160156,-52.5703125,169.233496094,-50.5309570312
NZL,-176.84765625,-44.3305664062,-176.122558594,-43.717578125
NZL,172.705957031,-41.6106445312,178.536230469,-34.4291015625
PHL,116.96953125,5.06020507812,126.593359375,20.8412597656
ITA,12.435546875,36.6878417969,15.6346679688,38.2958984375
ITA,11.9364257813,36.7459960937,12.0512695312,36.8430664062
ITA,6.627734375,37.9391113281,18.4858398438,47.0821289063
ITA,12.315,35.487,12.893,35.885
ITA,8.180859375,38.9096679688,9.8052734375,41.2570800781
PAN,-83.02734375,7.22006835938,-77.1959960937,9.5978515625
THA,97.3739257812,5.63676757813,105.641015625,20.4244140625
IND,92.71328125,6.74868164062,93.9295898438,9.24389648438
IND,68.1650390625,8.0783203125,97.3435546875,35.4958984375
IND,72.7724609375,8.251953125,73.08359375,11.2627441406
IND,92.3528320313,10.5207519531,93.0766601563,13.5454589844
RUS,52.7350585938,42.3025390625,180.0,81.28046875
RUS,19.6043945313,54.3500976562,22.83125,55.2866699219
RUS,27.351953125,41.1992675781,68.9416992188,81.8541992187
RUS,-180.0,64.2797363281,-169.729150391,71.5961914063
MYS,99.6462890625,0.861962890625,119.266308594,7.35166015625
ALA,19.5190429688,60.0116699219,20.611328125,60.4058105469
PRT,-9.47973632812,37.0054199219,-6.2125,42.1374023437
PRT,-17.3,32.4,-16.25,33.15
PRT,-31.2829589844,36.9415527344,-25.02734375,39.5208496094
HRV,13.5171875,42.4329101562,19.4009765625,46.5346191406
BMU,-64.8628417969,32.2596191406,-64.6683105469,32.3869140625
GRC,19.646484375,34.9344726563,28.2318359375,41.7437988281
BEL,4.2146484375,50.7760253906,4.44169921875,50.900390625
BEL,2.85546875,49.5108886719,6.364453125,50.8059570312
BEL,2.52490234375,50.6976074219,5.89248046875,51.4911132813
URY,-58.4381347656,-34.9328125,-53.1255859375,-30.1010742188
ESP,-18.160546875,27.6463867188,-13.4229492187,29.2372070313
ESP,-9.23564453125,36.0259277344,3.30673828125,43.7645507812
ESP,1.22333984375,38.6588378906,4.3220703125,40.0750976562
CHL,-109.434130859,-27.1712890625,-109.222851562,-27.068359375
CHL,-78.989453125,-33.6677734375,-78.7689453125,-33.5751953125
CHL,-75.7081054687,-55.8916992188,-66.4357910156,-17.5060546875
MHL,166.844726563,5.7998046875,171.756835937,11.1686523438
ASM,-170.820507813,-14.359765625,-170.568115234,-14.257421875
GUM,144.649316406,13.2575195312,144.940820313,13.6223632813
SJM,10.5576171875,74.3521484375,33.629296875,80.4778320312
CUB,-84.8872070313,19.85546875,-74.1368164063,23.1904296875
ISL,-24.4756835937,63.4066894531,-13.5561035156,66.5260742187
CHN,73.6073242187,20.2637207031,134.75234375,53.5556152344
CHN,108.635644531,18.2182617188,111.013671875,20.1377441406
SGP,103.650195312,1.26538085938,103.996386719,1.4470703125
PRI,-67.9370605469,17.947265625,-65.2948730469,18.5221679687
ARG,-73.5762695312,-55.0321289062,-53.6685546875,-21.8025390625
ZAF,16.4475585938,-34.7857421875,32.8861328125,-22.1462890625
ZAF,37.5900390625,-46.962890625,37.8876953125,-46.8240234375
VNM,102.127441406,8.58325195312,109.444921875,23.3452148438
ATA,-90.6520507812,-68.8032226562,-90.5146972656,-68.712109375
ATA,-45.9562988281,-60.7330078125,-45.1728515625,-60.5208984375
ATA,-180.0,-89.9989257812,-0.1845703125,-61.07265625
ATA,5.68434188608e-14,-89.9989257812,180.0,-65.1296875
KOR,126.007519531,34.2964355469,129.572851563,38.6234375
KOR,130.810253906,37.4487304688,130.934277344,37.5537109375
KOR,126.165625,33.2015136719,126.93125,33.5532226562
BRA,-74.0020507813,-33.7421875,-34.80546875,5.25795898437
PLW,131.134960938,3.021875,134.659570313,7.712109375
PYF,-151.512402344,-20.8758789063,-136.293896484,-8.78154296875
PER,-81.3366210937,-18.3456054688,-68.6852539062,-0.041748046875
FJI,174.587207031,-21.705859375,180.0,-12.476953125
FJI,-180.0,-20.6705078125,-178.251123047,-16.1260742188
KIR,169.522949219,-1.26337890625,174.77890625,3.14877929687
KIR,-174.540820313,-11.4568359375,-151.782617188,3.92353515625
FSM,138.061914063,5.27724609375,162.993457031,9.59331054687
VIR,-65.0236328125,17.7017089844,-64.58046875,18.3852050781
COK,-159.842480469,-21.2495117188,-159.736865234,-21.1864257813
MNP,145.152148438,14.111328125,145.835449219,18.8067871094
REU,55.2328125,-21.3690429688,55.8390625,-20.8651367188
TZA,39.1823242188,-6.4537109375,39.8709960937,-4.90615234375
TZA,29.3234375,-11.7162109375,40.4635742188,-0.994921875
ECU,-80.9627929687,-4.990625,-75.249609375,1.45537109375
ECU,-91.6541503906,-1.3419921875,-89.259375,0.125830078125
